C15x50,C380x74
C15x40,C380x60
C15x33.9,C380x50
C12x30,C310x45
C12x25,C310x37
C12x20.7,C310x31
C10x30,C250x45
C10x25,C250x37
C10x20,C250x30
C10x15.3,C250x23
C9x20,C230x30
C9x15,C230x22
C9x13.4,C230x20
C8x18.75,C200x28
C8x13.75,C200x21
C8x11.5,C200x17
C7x14.75,C180x22
C7x12.25,C180x18
C7x9.8,C180x15
C6x13,C150x19
C6x10.5,C150x16
C6x8.2,C150x12
C5x9,C130x13
C5x6.7,C130x10
C4x7.25,C100x11
C4x6.25,C100x9
C4x5.4,C100x8
C4x4.5,C100x7
C3x6,C75x9
C3x5,C75x7
C3x4.1,C75x6
C3x3.5,C75x5
